,City,City Latitude,City Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
61,Phoenix,33.45,-112.07,Hilton Garden Inn,33.4501718,-112.0734543,Hotel
62,Phoenix,33.45,-112.07,Chick-fil-A,33.4536187,-112.0715447,Fast Food Restaurant
63,Phoenix,33.45,-112.07,Monarch Theatre,33.44834361503903,-112.0719645862766,Nightclub
64,Phoenix,33.45,-112.07,Starbucks,33.449281424808,-112.07269261494507,Coffee Shop
65,Phoenix,33.45,-112.07,Harumi Sushi,33.44978473007905,-112.0752761192183,Sushi Restaurant
66,Phoenix,33.45,-112.07,Centrico,33.449458,-112.074081,Mexican Restaurant
67,Phoenix,33.45,-112.07,Breakfast Club,33.4473359,-112.0734243,Breakfast Spot
68,Phoenix,33.45,-112.07,EōS FITNESS,33.44794123210831,-112.07303303085496,Gym
69,Phoenix,33.45,-112.07,Mountainside Fitness Platinum,33.44654545447412,-112.06667428884842,Gym
70,Phoenix,33.45,-112.07,Monroe’s Hot Chicken,33.447042,-112.073328,Fried Chicken Joint
71,Phoenix,33.45,-112.07,Blue Hound Kitchen & Cocktails,33.44744684287623,-112.0733168721199,New American Restaurant
72,Phoenix,33.45,-112.07,Hard Rock Cafe Phoenix,33.4469963,-112.0710206,Theme Restaurant
73,Phoenix,33.45,-112.07,Copper Blues Live!,33.44763339828435,-112.07389664829697,Rock Club
74,Phoenix,33.45,-112.07,Nook Kitchen,33.450221242619996,-112.07372013722554,Pizza Place
75,Phoenix,33.45,-112.07,Anhelo,33.448694,-112.065476,Restaurant
76,Phoenix,33.45,-112.07,Cartel Coffee Lab,33.44844199084979,-112.07247794227017,Coffee Shop
77,Phoenix,33.45,-112.07,Bar Bianco,33.4492534911461,-112.06589365484314,Wine Bar
78,Phoenix,33.45,-112.07,AMC Arizona Center 24,33.453572068155424,-112.06919431686401,Movie Theater
79,Phoenix,33.45,-112.07,Arizona Latino Arts & Cultural Center,33.449280942246254,-112.07160605790412,Art Gallery
80,Phoenix,33.45,-112.07,Seamus McCaffrey's Irish Pub & Restaurant,33.450332301416864,-112.07422733345051,Irish Pub
81,Phoenix,33.45,-112.07,Starbucks,33.44791375,-112.0746959,Coffee Shop
82,Phoenix,33.45,-112.07,Dust Cutter,33.44955669919821,-112.0732103385821,American Restaurant
83,Phoenix,33.45,-112.07,Starbucks,33.44937434415291,-112.0708939537822,Coffee Shop
84,Phoenix,33.45,-112.07,Thai Basil,33.44927853854385,-112.07514603034988,Thai Restaurant
85,Phoenix,33.45,-112.07,La Piazza Locale,33.44852029247839,-112.07251035395959,Pizza Place
86,Phoenix,33.45,-112.07,Charming Charlie,33.44805714942593,-112.07369288324931,Accessories Store
87,Phoenix,33.45,-112.07,Westin Executive Club,33.45175785859115,-112.07285341586119,Hotel Bar
88,Phoenix,33.45,-112.07,Spoonz Cafe,33.4491894208204,-112.07453030456055,American Restaurant
89,Phoenix,33.45,-112.07,Orangetheory Fitness,33.44760598200296,-112.07425017961509,Gym / Fitness Center
90,Phoenix,33.45,-112.07,FlexPrint Club,33.4458227972346,-112.07126229485478,Lounge
91,Phoenix,33.45,-112.07,Blue Moon Club,33.44671579045372,-112.0710306820844,Lounge
92,Phoenix,33.45,-112.07,Vegan House,33.44932247702329,-112.07434198935415,Vegetarian / Vegan Restaurant
93,Phoenix,33.45,-112.07,Willie's Taco Joint,33.446401935253874,-112.0698305819364,Mexican Restaurant
94,Phoenix,33.45,-112.07,Squid Ink Sushi Bar,33.447531645339865,-112.07382476038019,Sushi Restaurant
95,Phoenix,33.45,-112.07,Melinda's Alley,33.44968864029825,-112.07368633658763,Speakeasy
96,Phoenix,33.45,-112.07,Al McCoy Media Center (US Airways Center),33.445925478213994,-112.069873740997,Basketball Stadium
97,Phoenix,33.45,-112.07,Club Annexus,33.44587562834875,-112.07119258773136,Lounge
98,Phoenix,33.45,-112.07,Noodle Bar,33.44950027813996,-112.07512904765731,Noodle House
99,Phoenix,33.45,-112.07,NBA Visitors Locker Room (US Airways Centers),33.4458601332422,-112.07111379849664,Basketball Stadium
100,Phoenix,33.45,-112.07,The Annexus Group Practice Court,33.44569,-112.07093,Basketball Court
101,Phoenix,33.45,-112.07,Networks Bar & Grill,33.44953615548073,-112.07148722950694,Bar
102,Phoenix,33.45,-112.07,Enjoy Sushi,33.44895958726968,-112.0741702756206,Sushi Restaurant
103,Phoenix,33.45,-112.07,Chase Bank,33.450917,-112.073167,Bank
104,Phoenix,33.45,-112.07,Urban Outfitters,33.44816,-112.07393,Clothing Store
105,Phoenix,33.45,-112.07,Terrace Cafe,33.44986448022866,-112.07168201243094,Breakfast Spot
106,Phoenix,33.45,-112.07,JoS. A. Bank,33.44814926952633,-112.07382096413914,Men's Store
107,Phoenix,33.45,-112.07,Chico Malo,33.447557724345735,-112.0739383880599,Mexican Restaurant
108,Phoenix,33.45,-112.07,Starbucks,33.44659354572787,-112.07189206525489,Coffee Shop
109,Phoenix,33.45,-112.07,FedEx Office,33.44873546267537,-112.07377438927124,Shipping Store
110,Phoenix,33.45,-112.07,Gypsy Bar,33.447880244983445,-112.07414571113554,Nightclub
111,Phoenix,33.45,-112.07,Chipotle Mexican Grill,33.448060056270165,-112.07443803548813,Mexican Restaurant
112,Phoenix,33.45,-112.07,ASU Devil's Greens,33.45303756538334,-112.07195214688058,College Cafeteria
113,Phoenix,33.45,-112.07,The Strand Urban Italian,33.44738687917363,-112.072655277565,Italian Restaurant
114,Phoenix,33.45,-112.07,METRO Van Buren/Central Ave,33.451657012304246,-112.0738730544494,Train Station
115,Phoenix,33.45,-112.07,Dunkin',33.44948462030617,-112.07400496615276,Donut Shop
116,Phoenix,33.45,-112.07,Even Stevens Sandwiches,33.45124719025938,-112.07514839179622,Sandwich Place
117,Phoenix,33.45,-112.07,Pizza Hut,33.4510721,-112.0747304,Pizza Place
118,Phoenix,33.45,-112.07,Jimmy John's,33.44800705458211,-112.07458412649169,Sandwich Place
119,Little Rock,34.74,-92.33,Walgreens,34.7408197,-92.3352913,Pharmacy
120,Little Rock,34.74,-92.33,MAPCO Mart,34.74138701554288,-92.33406018132594,Convenience Store
121,Little Rock,34.74,-92.33,Church's Chicken,34.74088147353256,-92.33413701873934,Fried Chicken Joint
122,Little Rock,34.74,-92.33,Rally's,34.741337,-92.333637,Fast Food Restaurant
123,Little Rock,34.74,-92.33,Ugly Mike's Records,34.741143,-92.326566,Record Shop
124,Little Rock,34.74,-92.33,Oak Forest Cleaners,34.740435,-92.334179,Dry Cleaner
125,Little Rock,34.74,-92.33,Fair Park & 12th,34.74113642209672,-92.33446598052979,Intersection
126,Little Rock,34.74,-92.33,Burger Brothers,34.740824,-92.325241,Burger Joint
127,Sacramento,38.56,-121.47,Tako Korean BBQ,38.5616577688855,-121.47033862848309,Korean Restaurant
128,Sacramento,38.56,-121.47,Abatin Wellness Center,38.561372999999996,-121.473952,Marijuana Dispensary
129,Sacramento,38.56,-121.47,Coriander Savory Vietnamese Food,38.56289658447405,-121.46944759940253,Vietnamese Restaurant
130,Sacramento,38.56,-121.47,Temple Coffee & Tea,38.56389899552608,-121.47240808754773,Coffee Shop
131,Sacramento,38.56,-121.47,Pushkin's Bakery,38.56396427098953,-121.47213170720632,Bakery
132,Sacramento,38.56,-121.47,Goodwill,38.562656,-121.470003,Thrift / Vintage Store
133,Sacramento,38.56,-121.47,GG Salon,38.56301921296082,-121.46953196845341,Salon / Barbershop
134,Sacramento,38.56,-121.47,Domino's Pizza,38.55587523594751,-121.47193106441023,Pizza Place
135,Sacramento,38.56,-121.47,Java Jack's,38.559400927354815,-121.4662278428365,Coffee Shop
136,Sacramento,38.56,-121.47,Jack's Supper Club,38.55936814452712,-121.46622452484262,Steakhouse
137,Sacramento,38.56,-121.47,LINQ Midtown Pool,38.56289558376501,-121.46874842777747,Pool
138,Sacramento,38.56,-121.47,LINQ Midtown Gym,38.56294081045081,-121.46873455935359,Gym
139,Sacramento,38.56,-121.47,The Frosted Cake Shop,38.563916087150574,-121.47213935852051,Dessert Shop
140,Denver,39.74,-104.98,Argonaut Wine & Liquor,39.739835,-104.978072,Liquor Store
141,Denver,39.74,-104.98,Cheba Hut Toasted Subs,39.739681,-104.979016,Sandwich Place
142,Denver,39.74,-104.98,La Abeja,39.74002644199467,-104.98085087589864,Mexican Restaurant
143,Denver,39.74,-104.98,SliceWorks,39.7398851448818,-104.978575011681,Pizza Place
144,Denver,39.74,-104.98,Natural Grocers,39.73933481500926,-104.97918823380881,Organic Grocery
145,Denver,39.74,-104.98,Fillmore Auditorium,39.740442639761035,-104.97716596808625,Concert Hall
146,Denver,39.74,-104.98,The 1UP Arcade Bar - Colfax,39.74007925781255,-104.97817252247776,Bar
147,Denver,39.74,-104.98,Sassafras American Eatery,39.73994899661985,-104.9827555095705,Breakfast Spot
148,Denver,39.74,-104.98,Good Times Burgers & Frozen Custard,39.739847852471165,-104.97726477358968,Fast Food Restaurant
149,Denver,39.74,-104.98,Hudson Hill,39.736960247921495,-104.9794067618554,Cocktail Bar
150,Denver,39.74,-104.98,Good Chemistry - Denver Dispensary,39.73990726771486,-104.98266807655273,Marijuana Dispensary
151,Denver,39.74,-104.98,Molly Brown House Museum,39.737432018127265,-104.98068872888014,Museum
152,Denver,39.74,-104.98,Capitol Hill Books,39.73997850804127,-104.98347153391282,Bookstore
153,Denver,39.74,-104.98,Wax Trax Records,39.73681021185317,-104.97923001969335,Record Shop
154,Denver,39.74,-104.98,Jelly Cafe,39.73679145639866,-104.97972950480312,Breakfast Spot
155,Denver,39.74,-104.98,Steuben's,39.743412718911244,-104.98020196971015,American Restaurant
156,Denver,39.74,-104.98,Marczyk Fine Foods,39.743138681216045,-104.97792791894467,Butcher
157,Denver,39.74,-104.98,Gyroz,39.73972526750187,-104.9767192404031,Mediterranean Restaurant
158,Denver,39.74,-104.98,Avenue Grill,39.74320265219274,-104.97903123332273,American Restaurant
159,Denver,39.74,-104.98,Kirkland Museum of Fine & Decorative Art,39.73694332555489,-104.98009844575212,Art Gallery
160,Denver,39.74,-104.98,Capitol Cigars,39.74007100252999,-104.97548801717214,Smoke Shop
161,Denver,39.74,-104.98,Beast + Bottle,39.743354833511525,-104.97814334113545,New American Restaurant
162,Denver,39.74,-104.98,Ogden Theatre,39.740166428690046,-104.97535630689222,Music Venue
163,Denver,39.74,-104.98,Shish Kabob Grill,39.740245973446925,-104.98363344567666,Middle Eastern Restaurant
164,Denver,39.74,-104.98,The Corner Beet,39.73853443699792,-104.97542416847682,Juice Bar
165,Denver,39.74,-104.98,City Grille,39.740165157565464,-104.98286104873169,Burger Joint
166,Denver,39.74,-104.98,Park & Co.,39.74343062565434,-104.98141282209014,Burger Joint
167,Denver,39.74,-104.98,Sub Culture,39.73696334662768,-104.98099485339526,Sandwich Place
168,Denver,39.74,-104.98,Prohibition,39.73990846667668,-104.98104787181354,Pub
169,Denver,39.74,-104.98,CorePower Yoga,39.73706957478853,-104.98305715156675,Yoga Studio
170,Denver,39.74,-104.98,WaterCourse Foods,39.74335415820212,-104.97649816522942,Vegetarian / Vegan Restaurant
171,Denver,39.74,-104.98,Denver Turnverein,39.74129987058284,-104.97718392849771,Dance Studio
172,Denver,39.74,-104.98,Phở-natic,39.74008075042005,-104.98411102616205,Noodle House
173,Denver,39.74,-104.98,Pablo's Coffee,39.73715982897996,-104.98083468648042,Coffee Shop
174,Denver,39.74,-104.98,Alpine Dog Brewing Company,39.74044396096285,-104.97492863772906,Brewery
175,Denver,39.74,-104.98,Tycoon Ramen & Sushi Bar,39.73995764036842,-104.98245917987775,Noodle House
176,Denver,39.74,-104.98,Ace Eat Serve,39.7435076248489,-104.98070459223092,Asian Restaurant
177,Denver,39.74,-104.98,Kilgore Books and Comics,39.73678762010487,-104.97911120149853,Bookstore
178,Denver,39.74,-104.98,Bang Up To The Elephant!,39.73715347738503,-104.97966609517296,Caribbean Restaurant
179,Denver,39.74,-104.98,Benny Blanco's,39.736849877906046,-104.97937311896123,Pizza Place
180,Denver,39.74,-104.98,Pub on Penn,39.736833181860675,-104.9808500995787,Pub
181,Denver,39.74,-104.98,Charlie's Denver,39.73977888323706,-104.97623846804261,Gay Bar
182,Denver,39.74,-104.98,FashioNation / Babysitter's Nightmare,39.736948418236906,-104.97949863412398,Clothing Store
183,Denver,39.74,-104.98,Orangetheory Fitness,39.743189072236085,-104.98136136992692,Gym / Fitness Center
184,Denver,39.74,-104.98,Pride & Swagger,39.74310186434412,-104.98125099020258,Gay Bar
185,Denver,39.74,-104.98,Wax Trax,39.736739,-104.979064,Music Store
186,Denver,39.74,-104.98,Tokyo Joe's,39.73765719744347,-104.98350501866162,Japanese Restaurant
187,Denver,39.74,-104.98,The Spring Cafe,39.738296849976145,-104.98389244079588,Café
